filename_adv,type_adv,RA_center_adv,DEC_center_adv,sig_adv,Nr_adv,RA_adv,DEC_adv,Roll_adv,base_name,attack,level,filename_gen,type_gen,RA_center_gen,DEC_center_gen,sig_gen,Nr_gen,RA_gen,DEC_gen,Roll_gen,RA_error,DEC_error,Roll_error
20090107_004901_s4h1A__gaussian_blur__very_subtle.fts,adversarial,340.0,-5.0,0.0016497,18.0,344.6341,-6.2987,-156.3119,20090107_004901_s4h1A.fts,gaussian_blur,very_subtle,20090107_004901_s4h1A.fts,genuine,340.0,-5.0,0.0027371,19.0,344.634,-6.2991,-156.3142,9.999999997489795e-05,0.00039999999999995595,0.002299999999991087
20090107_020901_s4h1A__gaussian_blur__very_subtle.fts,adversarial,340.0,-5.0,0.0017646,18.0,344.6866,-6.2759,-156.3057,20090107_020901_s4h1A.fts,gaussian_blur,very_subtle,20090107_020901_s4h1A.fts,genuine,340.0,5.0,0.0014361,11.0,344.6865,-6.2757,-156.3061,9.999999997489795e-05,-0.00020000000000042206,0.0003999999999848569
20090107_024901_s4h1A__gaussian_blur__very_subtle.fts,adversarial,340.0,-5.0,0.0013941,17.0,344.7125,-6.2642,-156.2967,20090107_024901_s4h1A.fts,gaussian_blur,very_subtle,20090107_024901_s4h1A.fts,genuine,340.0,-5.0,0.002502,19.0,344.7126,-6.2644,-156.299,-0.00010000000003174137,0.00020000000000042206,0.0023000000000195087
20090107_032901_s4h1A__gaussian_blur__very_subtle.fts,adversarial,340.0,-5.0,0.0017788,18.0,344.7401,-6.2525,-156.2954,20090107_032901_s4h1A.fts,gaussian_blur,very_subtle,20090107_032901_s4h1A.fts,genuine,340.0,5.0,0.00056111,10.0,344.7398,-6.2524,-156.2931,0.00029999999998153726,-0.00010000000000065512,-0.002299999999991087
20090107_040901_s4h1A__gaussian_blur__very_subtle.fts,adversarial,340.0,-5.0,0.0021924,18.0,344.7664,-6.2414,-156.2853,20090107_040901_s4h1A.fts,gaussian_blur,very_subtle,20090107_040901_s4h1A.fts,genuine,340.0,-5.0,0.0023808,18.0,344.7664,-6.2415,-156.2922,0.0,0.00010000000000065512,0.0069000000000016826
20090107_044901_s4h1A__gaussian_blur__very_subtle.fts,adversarial,340.0,5.0,0.00053101,10.0,344.793,-6.2309,-156.2929,20090107_044901_s4h1A.fts,gaussian_blur,very_subtle,20090107_044901_s4h1A.fts,genuine,340.0,-5.0,0.0037505,22.0,344.7926,-6.2304,-156.2881,0.0004000000000132786,-0.0004999999999997229,-0.004800000000017235
20090107_052901_s4h1A__gaussian_blur__very_subtle.fts,adversarial,340.0,-5.0,0.0039358,22.0,344.82,-6.2198,-156.2798,20090107_052901_s4h1A.fts,gaussian_blur,very_subtle,20090107_052901_s4h1A.fts,genuine,340.0,-5.0,0.0022535,17.0,344.8192,-6.2195,-156.2868,0.0007999999999697138,-0.000300000000000189,0.007000000000005002
20090107_060901_s4h1A__gaussian_blur__very_subtle.fts,adversarial,340.0,-5.0,0.0017276,18.0,344.846,-6.2093,-156.293,20090107_060901_s4h1A.fts,gaussian_blur,very_subtle,20090107_060901_s4h1A.fts,genuine,340.0,-5.0,0.0023247,18.0,344.8462,-6.2088,-156.2855,-0.0002000000000066393,-0.0004999999999997229,-0.007499999999993179
20090107_064901_s4h1A__gaussian_blur__very_subtle.fts,adversarial,340.0,5.0,0.00066484,10.0,344.8742,-6.1978,-156.2746,20090107_064901_s4h1A.fts,gaussian_blur,very_subtle,20090107_064901_s4h1A.fts,genuine,340.0,5.0,0.00065795,10.0,344.8722,-6.1973,-156.2845,0.0019999999999527063,-0.0004999999999997229,0.009900000000016007
20090107_072901_s4h1A__gaussian_blur__very_subtle.fts,adversarial,340.0,-5.0,0.00084237,16.0,344.8989,-6.186,-156.2768,20090107_072901_s4h1A.fts,gaussian_blur,very_subtle,20090107_072901_s4h1A.fts,genuine,340.0,5.0,0.0014472,11.0,344.899,-6.1861,-156.2763,-9.999999997489795e-05,9.999999999976694e-05,-0.0005000000000165983
20090107_080901_s4h1A__gaussian_blur__very_subtle.fts,adversarial,340.0,-5.0,0.0036038,20.0,344.9273,-6.1758,-156.27,20090107_080901_s4h1A.fts,gaussian_blur,very_subtle,20090107_080901_s4h1A.fts,genuine,340.0,5.0,0.00062338,10.0,344.9258,-6.1748,-156.2737,0.0015000000000213731,-0.0009999999999994458,0.0036999999999807187
20090107_092901_s4h1A__gaussian_blur__very_subtle.fts,adversarial,340.0,-5.0,0.0026602,20.0,344.9805,-6.1537,-156.2746,20090107_092901_s4h1A.fts,gaussian_blur,very_subtle,20090107_092901_s4h1A.fts,genuine,340.0,5.0,0.0015466,11.0,344.9798,-6.1535,-156.2667,0.0006999999999948159,-0.00019999999999953388,-0.007900000000006457
20090107_104901_s4h1A__gaussian_blur__very_subtle.fts,adversarial,340.0,5.0,0.0015164,11.0,345.0335,-6.1313,-156.2644,20090107_104901_s4h1A.fts,gaussian_blur,very_subtle,20090107_104901_s4h1A.fts,genuine,340.0,5.0,0.0015204,11.0,345.0325,-6.1304,-156.2584,0.0009999999999763531,-0.000900000000000567,-0.006000000000000227
20090107_132901_s4h1A__gaussian_blur__very_subtle.fts,adversarial,340.0,5.0,0.0003186,9.0,345.1395,-6.0873,-156.2493,20090107_132901_s4h1A.fts,gaussian_blur,very_subtle,20090107_132901_s4h1A.fts,genuine,340.0,-5.0,0.0028692,18.0,345.1402,-6.0875,-156.2506,-0.0006999999999948159,0.00020000000000042206,0.001299999999986312
20090107_140901_s4h1A__gaussian_blur__very_subtle.fts,adversarial,350.0,-5.0,0.00031849,16.0,345.1666,-6.0767,-156.2446,20090107_140901_s4h1A.fts,gaussian_blur,very_subtle,20090107_140901_s4h1A.fts,genuine,340.0,-5.0,0.002975,18.0,345.1661,-6.0767,-156.248,0.00050000000004502,0.0,0.0033999999999991815
20090107_144901_s4h1A__gaussian_blur__very_subtle.fts,adversarial,350.0,-5.0,0.00024534,15.0,345.1932,-6.066,-156.2459,20090107_144901_s4h1A.fts,gaussian_blur,very_subtle,20090107_144901_s4h1A.fts,genuine,340.0,5.0,0.0014821,10.0,345.1941,-6.0669,-156.2503,-0.0009000000000014552,0.000900000000000567,0.004400000000003956
20090107_152901_s4h1A__gaussian_blur__very_subtle.fts,adversarial,340.0,-5.0,0.00069009,13.0,345.2207,-6.0552,-156.2434,20090107_152901_s4h1A.fts,gaussian_blur,very_subtle,20090107_152901_s4h1A.fts,genuine,340.0,-5.0,0.00072901,14.0,345.2205,-6.0553,-156.2427,0.0002000000000066393,9.999999999976694e-05,-0.0006999999999948159
20090107_164901_s4h1A__gaussian_blur__very_subtle.fts,adversarial,350.0,-5.0,0.00093537,14.0,345.2745,-6.0328,-156.239,20090107_164901_s4h1A.fts,gaussian_blur,very_subtle,20090107_164901_s4h1A.fts,genuine,340.0,-5.0,0.0028789,17.0,345.2742,-6.0331,-156.2351,0.00029999999998153726,0.000300000000000189,-0.0039000000000157797
20090107_172901_s4h1A__gaussian_blur__very_subtle.fts,adversarial,340.0,-5.0,0.0017433,16.0,345.3002,-6.0221,-156.2306,20090107_172901_s4h1A.fts,gaussian_blur,very_subtle,20090107_172901_s4h1A.fts,genuine,340.0,5.0,0.0015964,11.0,345.3008,-6.0224,-156.2294,-0.0005999999999630745,0.000300000000000189,-0.0012000000000114142
20090107_180901_s4h1A__gaussian_blur__very_subtle.fts,adversarial,340.0,5.0,0.0015035,10.0,345.3271,-6.0107,-156.2296,20090107_180901_s4h1A.fts,gaussian_blur,very_subtle,20090107_180901_s4h1A.fts,genuine,340.0,-5.0,0.0029984,17.0,345.3273,-6.0109,-156.2284,-0.0002000000000066393,0.00020000000000042206,-0.0012000000000114142
20090107_184901_s4h1A__gaussian_blur__very_subtle.fts,adversarial,340.0,5.0,0.0015458,11.0,345.3532,-5.999,-156.2236,20090107_184901_s4h1A.fts,gaussian_blur,very_subtle,20090107_184901_s4h1A.fts,genuine,340.0,-5.0,0.0016919,16.0,345.3538,-5.9998,-156.2212,-0.0005999999999630745,0.0007999999999999119,-0.0023999999999944066
20090107_192901_s4h1A__gaussian_blur__very_subtle.fts,adversarial,,,,,,,,20090107_192901_s4h1A.fts,gaussian_blur,very_subtle,20090107_192901_s4h1A.fts,genuine,340.0,-5.0,0.00088129,14.0,345.3806,-5.9889,-156.223,,,
20090107_200901_s4h1A__gaussian_blur__very_subtle.fts,adversarial,,,,,,,,20090107_200901_s4h1A.fts,gaussian_blur,very_subtle,20090107_200901_s4h1A.fts,genuine,340.0,-5.0,0.00084408,14.0,345.4076,-5.9788,-156.2209,,,
20090107_212901_s4h1A__gaussian_blur__very_subtle.fts,adversarial,,,,,,,,20090107_212901_s4h1A.fts,gaussian_blur,very_subtle,20090107_212901_s4h1A.fts,genuine,340.0,5.0,0.00062063,10.0,345.4605,-5.9562,-156.2116,,,
20090107_224901_s4h1A__gaussian_blur__very_subtle.fts,adversarial,340.0,5.0,0.0014902,11.0,345.5141,-5.9341,-156.2141,20090107_224901_s4h1A.fts,gaussian_blur,very_subtle,20090107_224901_s4h1A.fts,genuine,340.0,5.0,0.0014174,11.0,345.514,-5.9342,-156.2071,9.999999997489795e-05,9.999999999976694e-05,-0.007000000000005002
20090108_000901_s4h1A__gaussian_blur__very_subtle.fts,adversarial,340.0,5.0,0.00053836,10.0,345.566,-5.9114,-156.1996,20090108_000901_s4h1A.fts,gaussian_blur,very_subtle,20090108_000901_s4h1A.fts,genuine,340.0,-5.0,0.00051278,11.0,345.5668,-5.9115,-156.2027,-0.0008000000000265572,9.999999999976694e-05,0.0030999999999892225
20090108_004901_s4h1A__gaussian_blur__very_subtle.fts,adversarial,340.0,5.0,0.0013804,11.0,345.5933,-5.9002,-156.196,20090108_004901_s4h1A.fts,gaussian_blur,very_subtle,20090108_004901_s4h1A.fts,genuine,340.0,-5.0,0.00041452,11.0,345.5936,-5.9007,-156.1989,-0.00029999999998153726,0.0004999999999997229,0.002900000000011005
20090108_012901_s4h1A__gaussian_blur__very_subtle.fts,adversarial,340.0,-5.0,0.00064056,13.0,345.6205,-5.8895,-156.197,20090108_012901_s4h1A.fts,gaussian_blur,very_subtle,20090108_012901_s4h1A.fts,genuine,350.0,-55.0,0.001086,14.0,345.6204,-5.8895,-156.1977,9.999999997489795e-05,0.0,0.0006999999999948159
20090108_020901_s4h1A__gaussian_blur__very_subtle.fts,adversarial,340.0,5.0,0.00058029,10.0,345.6469,-5.8778,-156.1933,20090108_020901_s4h1A.fts,gaussian_blur,very_subtle,20090108_020901_s4h1A.fts,genuine,340.0,5.0,0.0014398,11.0,345.647,-5.8784,-156.1939,-9.999999997489795e-05,0.000600000000000378,0.0006000000000199179
20090108_024901_s4h1A__gaussian_blur__very_subtle.fts,adversarial,,,,,,,,20090108_024901_s4h1A.fts,gaussian_blur,very_subtle,20090108_024901_s4h1A.fts,genuine,340.0,5.0,0.00057982,10.0,345.6741,-5.8673,-156.1903,,,
20090108_044901_s4h1A__gaussian_blur__very_subtle.fts,adversarial,340.0,5.0,0.00054367,10.0,345.7531,-5.8338,-156.1839,20090108_044901_s4h1A.fts,gaussian_blur,very_subtle,20090108_044901_s4h1A.fts,genuine,340.0,5.0,0.00089227,10.0,345.7534,-5.8336,-156.1833,-0.00029999999998153726,-0.00020000000000042206,-0.0005999999999914962
20090108_052901_s4h1A__gaussian_blur__very_subtle.fts,adversarial,,,,,,,,20090108_052901_s4h1A.fts,gaussian_blur,very_subtle,20090108_052901_s4h1A.fts,genuine,340.0,5.0,0.00092795,10.0,345.7796,-5.8223,-156.1777,,,
20090108_060901_s4h1A__gaussian_blur__very_subtle.fts,adversarial,,,,,,,,20090108_060901_s4h1A.fts,gaussian_blur,very_subtle,20090108_060901_s4h1A.fts,genuine,340.0,5.0,0.00090492,9.0,345.806,-5.8115,-156.1799,,,
