filename_adv,type_adv,RA_center_adv,DEC_center_adv,sig_adv,Nr_adv,RA_adv,DEC_adv,Roll_adv,base_name,attack,level,filename_gen,type_gen,RA_center_gen,DEC_center_gen,sig_gen,Nr_gen,RA_gen,DEC_gen,Roll_gen,RA_error,DEC_error,Roll_error
20090107_004901_s4h1A__partial_occlusion__very_subtle.fts,adversarial,340.0,-5.0,0.0016719,15.0,344.6345,-6.2994,-156.3191,20090107_004901_s4h1A.fts,partial_occlusion,very_subtle,20090107_004901_s4h1A.fts,genuine,340.0,-5.0,0.0027371,19.0,344.634,-6.2991,-156.3142,0.0004999999999881766,-0.000300000000000189,-0.004899999999992133
20090107_020901_s4h1A__partial_occlusion__very_subtle.fts,adversarial,,,,,,,,20090107_020901_s4h1A.fts,partial_occlusion,very_subtle,20090107_020901_s4h1A.fts,genuine,340.0,5.0,0.0014361,11.0,344.6865,-6.2757,-156.3061,,,
20090107_024901_s4h1A__partial_occlusion__very_subtle.fts,adversarial,,,,,,,,20090107_024901_s4h1A.fts,partial_occlusion,very_subtle,20090107_024901_s4h1A.fts,genuine,340.0,-5.0,0.002502,19.0,344.7126,-6.2644,-156.299,,,
20090107_032901_s4h1A__partial_occlusion__very_subtle.fts,adversarial,340.0,-5.0,0.00042271,15.0,344.7397,-6.2528,-156.2945,20090107_032901_s4h1A.fts,partial_occlusion,very_subtle,20090107_032901_s4h1A.fts,genuine,340.0,5.0,0.00056111,10.0,344.7398,-6.2524,-156.2931,-9.999999997489795e-05,-0.00039999999999995595,-0.0013999999999896318
20090107_040901_s4h1A__partial_occlusion__very_subtle.fts,adversarial,,,,,,,,20090107_040901_s4h1A.fts,partial_occlusion,very_subtle,20090107_040901_s4h1A.fts,genuine,340.0,-5.0,0.0023808,18.0,344.7664,-6.2415,-156.2922,,,
20090107_044901_s4h1A__partial_occlusion__very_subtle.fts,adversarial,340.0,-5.0,0.00074827,16.0,344.7942,-6.2311,-156.287,20090107_044901_s4h1A.fts,partial_occlusion,very_subtle,20090107_044901_s4h1A.fts,genuine,340.0,-5.0,0.0037505,22.0,344.7926,-6.2304,-156.2881,0.001599999999996271,-0.0006999999999992568,0.0010999999999796728
20090107_052901_s4h1A__partial_occlusion__very_subtle.fts,adversarial,340.0,-5.0,0.0022928,17.0,344.8196,-6.2199,-156.288,20090107_052901_s4h1A.fts,partial_occlusion,very_subtle,20090107_052901_s4h1A.fts,genuine,340.0,-5.0,0.0022535,17.0,344.8192,-6.2195,-156.2868,0.0003999999999564352,-0.00039999999999995595,-0.0012000000000114142
20090107_060901_s4h1A__partial_occlusion__very_subtle.fts,adversarial,,,,,,,,20090107_060901_s4h1A.fts,partial_occlusion,very_subtle,20090107_060901_s4h1A.fts,genuine,340.0,-5.0,0.0023247,18.0,344.8462,-6.2088,-156.2855,,,
20090107_064901_s4h1A__partial_occlusion__very_subtle.fts,adversarial,340.0,5.0,0.00062757,10.0,344.8728,-6.1978,-156.2799,20090107_064901_s4h1A.fts,partial_occlusion,very_subtle,20090107_064901_s4h1A.fts,genuine,340.0,5.0,0.00065795,10.0,344.8722,-6.1973,-156.2845,0.0005999999999630745,-0.0004999999999997229,0.004600000000010596
20090107_072901_s4h1A__partial_occlusion__very_subtle.fts,adversarial,340.0,5.0,0.00060837,10.0,344.899,-6.1862,-156.2757,20090107_072901_s4h1A.fts,partial_occlusion,very_subtle,20090107_072901_s4h1A.fts,genuine,340.0,5.0,0.0014472,11.0,344.899,-6.1861,-156.2763,0.0,-0.00010000000000065512,0.0005999999999914962
20090107_080901_s4h1A__partial_occlusion__very_subtle.fts,adversarial,,,,,,,,20090107_080901_s4h1A.fts,partial_occlusion,very_subtle,20090107_080901_s4h1A.fts,genuine,340.0,5.0,0.00062338,10.0,344.9258,-6.1748,-156.2737,,,
20090107_092901_s4h1A__partial_occlusion__very_subtle.fts,adversarial,,,,,,,,20090107_092901_s4h1A.fts,partial_occlusion,very_subtle,20090107_092901_s4h1A.fts,genuine,340.0,5.0,0.0015466,11.0,344.9798,-6.1535,-156.2667,,,
20090107_104901_s4h1A__partial_occlusion__very_subtle.fts,adversarial,340.0,5.0,0.00068099,8.0,345.033,-6.1308,-156.2599,20090107_104901_s4h1A.fts,partial_occlusion,very_subtle,20090107_104901_s4h1A.fts,genuine,340.0,5.0,0.0015204,11.0,345.0325,-6.1304,-156.2584,0.0004999999999881766,-0.00039999999999995595,-0.0014999999999929514
20090107_132901_s4h1A__partial_occlusion__very_subtle.fts,adversarial,,,,,,,,20090107_132901_s4h1A.fts,partial_occlusion,very_subtle,20090107_132901_s4h1A.fts,genuine,340.0,-5.0,0.0028692,18.0,345.1402,-6.0875,-156.2506,,,
20090107_140901_s4h1A__partial_occlusion__very_subtle.fts,adversarial,340.0,-5.0,0.0029314,18.0,345.1664,-6.0774,-156.2507,20090107_140901_s4h1A.fts,partial_occlusion,very_subtle,20090107_140901_s4h1A.fts,genuine,340.0,-5.0,0.002975,18.0,345.1661,-6.0767,-156.248,0.0003000000000383807,-0.000700000000000145,-0.0027000000000043656
20090107_144901_s4h1A__partial_occlusion__very_subtle.fts,adversarial,,,,,,,,20090107_144901_s4h1A.fts,partial_occlusion,very_subtle,20090107_144901_s4h1A.fts,genuine,340.0,5.0,0.0014821,10.0,345.1941,-6.0669,-156.2503,,,
