filename_adv,type_adv,RA_center_adv,DEC_center_adv,sig_adv,Nr_adv,RA_adv,DEC_adv,Roll_adv,base_name,attack,level,filename_gen,type_gen,RA_center_gen,DEC_center_gen,sig_gen,Nr_gen,RA_gen,DEC_gen,Roll_gen,RA_error,DEC_error,Roll_error
20090107_004901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,,,,,,,,20090107_004901_s4h1A.fts,radiation_streaks,very_subtle,20090107_004901_s4h1A.fts,genuine,340.0,-5.0,0.0027371,19.0,344.634,-6.2991,-156.3142,,,
20090107_020901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,,,,,,,,20090107_020901_s4h1A.fts,radiation_streaks,very_subtle,20090107_020901_s4h1A.fts,genuine,340.0,5.0,0.0014361,11.0,344.6865,-6.2757,-156.3061,,,
20090107_024901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,,,,,,,,20090107_024901_s4h1A.fts,radiation_streaks,very_subtle,20090107_024901_s4h1A.fts,genuine,340.0,-5.0,0.002502,19.0,344.7126,-6.2644,-156.299,,,
20090107_032901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,,,,,,,,20090107_032901_s4h1A.fts,radiation_streaks,very_subtle,20090107_032901_s4h1A.fts,genuine,340.0,5.0,0.00056111,10.0,344.7398,-6.2524,-156.2931,,,
20090107_040901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,,,,,,,,20090107_040901_s4h1A.fts,radiation_streaks,very_subtle,20090107_040901_s4h1A.fts,genuine,340.0,-5.0,0.0023808,18.0,344.7664,-6.2415,-156.2922,,,
20090107_044901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,340.0,-5.0,0.00088704,15.0,344.7935,-6.2307,-156.2892,20090107_044901_s4h1A.fts,radiation_streaks,very_subtle,20090107_044901_s4h1A.fts,genuine,340.0,-5.0,0.0037505,22.0,344.7926,-6.2304,-156.2881,0.0009000000000014552,-0.0002999999999993008,-0.0011000000000080945
20090107_052901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,,,,,,,,20090107_052901_s4h1A.fts,radiation_streaks,very_subtle,20090107_052901_s4h1A.fts,genuine,340.0,-5.0,0.0022535,17.0,344.8192,-6.2195,-156.2868,,,
20090107_060901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,,,,,,,,20090107_060901_s4h1A.fts,radiation_streaks,very_subtle,20090107_060901_s4h1A.fts,genuine,340.0,-5.0,0.0023247,18.0,344.8462,-6.2088,-156.2855,,,
20090107_064901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,340.0,-5.0,0.0039785,20.0,344.8727,-6.1977,-156.2793,20090107_064901_s4h1A.fts,radiation_streaks,very_subtle,20090107_064901_s4h1A.fts,genuine,340.0,5.0,0.00065795,10.0,344.8722,-6.1973,-156.2845,0.0004999999999881766,-0.00039999999999995595,0.005200000000002092
20090107_072901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,340.0,-5.0,0.0016901,16.0,344.9,-6.1861,-156.2734,20090107_072901_s4h1A.fts,radiation_streaks,very_subtle,20090107_072901_s4h1A.fts,genuine,340.0,5.0,0.0014472,11.0,344.899,-6.1861,-156.2763,0.0009999999999763531,0.0,0.002899999999982583
20090107_080901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,,,,,,,,20090107_080901_s4h1A.fts,radiation_streaks,very_subtle,20090107_080901_s4h1A.fts,genuine,340.0,5.0,0.00062338,10.0,344.9258,-6.1748,-156.2737,,,
20090107_092901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,340.0,-5.0,0.0030888,20.0,344.98,-6.1538,-156.2712,20090107_092901_s4h1A.fts,radiation_streaks,very_subtle,20090107_092901_s4h1A.fts,genuine,340.0,5.0,0.0015466,11.0,344.9798,-6.1535,-156.2667,0.0002000000000066393,-0.000300000000000189,-0.004500000000007276
20090107_104901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,340.0,-5.0,0.002827,19.0,345.0329,-6.1308,-156.2596,20090107_104901_s4h1A.fts,radiation_streaks,very_subtle,20090107_104901_s4h1A.fts,genuine,340.0,5.0,0.0015204,11.0,345.0325,-6.1304,-156.2584,0.0003999999999564352,-0.00039999999999995595,-0.0012000000000114142
20090107_132901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,340.0,-5.0,0.0025181,17.0,345.1404,-6.0876,-156.249,20090107_132901_s4h1A.fts,radiation_streaks,very_subtle,20090107_132901_s4h1A.fts,genuine,340.0,-5.0,0.0028692,18.0,345.1402,-6.0875,-156.2506,0.0002000000000066393,-9.999999999976694e-05,0.001599999999996271
20090107_140901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,340.0,-5.0,0.0026185,17.0,345.1667,-6.0766,-156.246,20090107_140901_s4h1A.fts,radiation_streaks,very_subtle,20090107_140901_s4h1A.fts,genuine,340.0,-5.0,0.002975,18.0,345.1661,-6.0767,-156.248,0.0006000000000199179,9.999999999976694e-05,0.001999999999981128
20090107_144901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,,,,,,,,20090107_144901_s4h1A.fts,radiation_streaks,very_subtle,20090107_144901_s4h1A.fts,genuine,340.0,5.0,0.0014821,10.0,345.1941,-6.0669,-156.2503,,,
20090107_152901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,,,,,,,,20090107_152901_s4h1A.fts,radiation_streaks,very_subtle,20090107_152901_s4h1A.fts,genuine,340.0,-5.0,0.00072901,14.0,345.2205,-6.0553,-156.2427,,,
20090107_164901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,340.0,-5.0,0.0029347,17.0,345.2743,-6.0335,-156.236,20090107_164901_s4h1A.fts,radiation_streaks,very_subtle,20090107_164901_s4h1A.fts,genuine,340.0,-5.0,0.0028789,17.0,345.2742,-6.0331,-156.2351,9.999999997489795e-05,-0.00039999999999995595,-0.0009000000000014552
20090107_172901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,340.0,-5.0,0.0029412,17.0,345.3009,-6.0225,-156.2295,20090107_172901_s4h1A.fts,radiation_streaks,very_subtle,20090107_172901_s4h1A.fts,genuine,340.0,5.0,0.0015964,11.0,345.3008,-6.0224,-156.2294,0.00010000000003174137,-9.999999999976694e-05,-0.00010000000000331966
20090107_180901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,340.0,-5.0,0.0030574,17.0,345.3271,-6.0113,-156.226,20090107_180901_s4h1A.fts,radiation_streaks,very_subtle,20090107_180901_s4h1A.fts,genuine,340.0,-5.0,0.0029984,17.0,345.3273,-6.0109,-156.2284,-0.0002000000000066393,-0.00039999999999995595,0.0023999999999944066
20090107_184901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,,,,,,,,20090107_184901_s4h1A.fts,radiation_streaks,very_subtle,20090107_184901_s4h1A.fts,genuine,340.0,-5.0,0.0016919,16.0,345.3538,-5.9998,-156.2212,,,
20090107_192901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,340.0,-5.0,0.0033733,17.0,345.3803,-5.9893,-156.2219,20090107_192901_s4h1A.fts,radiation_streaks,very_subtle,20090107_192901_s4h1A.fts,genuine,340.0,-5.0,0.00088129,14.0,345.3806,-5.9889,-156.223,-0.0003000000000383807,-0.00039999999999995595,0.0011000000000080945
20090107_200901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,340.0,-5.0,0.0032365,17.0,345.4072,-5.9784,-156.2203,20090107_200901_s4h1A.fts,radiation_streaks,very_subtle,20090107_200901_s4h1A.fts,genuine,340.0,-5.0,0.00084408,14.0,345.4076,-5.9788,-156.2209,-0.0004000000000132786,0.00039999999999995595,0.0005999999999914962
20090107_212901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,,,,,,,,20090107_212901_s4h1A.fts,radiation_streaks,very_subtle,20090107_212901_s4h1A.fts,genuine,340.0,5.0,0.00062063,10.0,345.4605,-5.9562,-156.2116,,,
