filename_adv,type_adv,RA_center_adv,DEC_center_adv,sig_adv,Nr_adv,RA_adv,DEC_adv,Roll_adv,base_name,attack,level,filename_gen,type_gen,RA_center_gen,DEC_center_gen,sig_gen,Nr_gen,RA_gen,DEC_gen,Roll_gen,RA_error,DEC_error,Roll_error
20090107_004901_s4h1A__star_spoofing__subtle.fts,adversarial,340.0,-5.0,0.0017134,12.0,344.6347,-6.2988,-156.3128,20090107_004901_s4h1A.fts,star_spoofing,subtle,20090107_004901_s4h1A.fts,genuine,340.0,-5.0,0.0027371,19.0,344.634,-6.2991,-156.3142,0.0006999999999948159,0.000300000000000189,0.0013999999999896318
20090107_020901_s4h1A__star_spoofing__subtle.fts,adversarial,,,,,,,,20090107_020901_s4h1A.fts,star_spoofing,subtle,20090107_020901_s4h1A.fts,genuine,340.0,5.0,0.0014361,11.0,344.6865,-6.2757,-156.3061,,,
20090107_024901_s4h1A__star_spoofing__subtle.fts,adversarial,340.0,-5.0,0.0036356,14.0,344.7129,-6.2639,-156.2958,20090107_024901_s4h1A.fts,star_spoofing,subtle,20090107_024901_s4h1A.fts,genuine,340.0,-5.0,0.002502,19.0,344.7126,-6.2644,-156.299,0.00029999999998153726,0.0005000000000006111,0.003199999999992542
20090107_032901_s4h1A__star_spoofing__subtle.fts,adversarial,340.0,5.0,0.0002268,8.0,344.7406,-6.2528,-156.2928,20090107_032901_s4h1A.fts,star_spoofing,subtle,20090107_032901_s4h1A.fts,genuine,340.0,5.0,0.00056111,10.0,344.7398,-6.2524,-156.2931,0.0007999999999697138,-0.00039999999999995595,0.00030000000000995897
20090107_040901_s4h1A__star_spoofing__subtle.fts,adversarial,340.0,5.0,0.00020866,8.0,344.7673,-6.2415,-156.2871,20090107_040901_s4h1A.fts,star_spoofing,subtle,20090107_040901_s4h1A.fts,genuine,340.0,-5.0,0.0023808,18.0,344.7664,-6.2415,-156.2922,0.0009000000000014552,0.0,0.005099999999998772
20090107_044901_s4h1A__star_spoofing__subtle.fts,adversarial,,,,,,,,20090107_044901_s4h1A.fts,star_spoofing,subtle,20090107_044901_s4h1A.fts,genuine,340.0,-5.0,0.0037505,22.0,344.7926,-6.2304,-156.2881,,,
20090107_052901_s4h1A__star_spoofing__subtle.fts,adversarial,,,,,,,,20090107_052901_s4h1A.fts,star_spoofing,subtle,20090107_052901_s4h1A.fts,genuine,340.0,-5.0,0.0022535,17.0,344.8192,-6.2195,-156.2868,,,
20090107_060901_s4h1A__star_spoofing__subtle.fts,adversarial,340.0,-5.0,0.0034445,14.0,344.8468,-6.2086,-156.2781,20090107_060901_s4h1A.fts,star_spoofing,subtle,20090107_060901_s4h1A.fts,genuine,340.0,-5.0,0.0023247,18.0,344.8462,-6.2088,-156.2855,0.0005999999999630745,0.00020000000000042206,0.007400000000018281
20090107_064901_s4h1A__star_spoofing__subtle.fts,adversarial,340.0,-5.0,0.0036059,14.0,344.8729,-6.198,-156.2786,20090107_064901_s4h1A.fts,star_spoofing,subtle,20090107_064901_s4h1A.fts,genuine,340.0,5.0,0.00065795,10.0,344.8722,-6.1973,-156.2845,0.0006999999999948159,-0.000700000000000145,0.005899999999996908
20090107_072901_s4h1A__star_spoofing__subtle.fts,adversarial,340.0,-5.0,0.0018968,12.0,344.9001,-6.186,-156.272,20090107_072901_s4h1A.fts,star_spoofing,subtle,20090107_072901_s4h1A.fts,genuine,340.0,5.0,0.0014472,11.0,344.899,-6.1861,-156.2763,0.0011000000000080945,9.999999999976694e-05,0.004300000000000637
20090107_080901_s4h1A__star_spoofing__subtle.fts,adversarial,340.0,5.0,0.00024868,8.0,344.9261,-6.1756,-156.2703,20090107_080901_s4h1A.fts,star_spoofing,subtle,20090107_080901_s4h1A.fts,genuine,340.0,5.0,0.00062338,10.0,344.9258,-6.1748,-156.2737,0.0003000000000383807,-0.0007999999999999119,0.0033999999999991815
20090107_092901_s4h1A__star_spoofing__subtle.fts,adversarial,,,,,,,,20090107_092901_s4h1A.fts,star_spoofing,subtle,20090107_092901_s4h1A.fts,genuine,340.0,5.0,0.0015466,11.0,344.9798,-6.1535,-156.2667,,,
20090107_104901_s4h1A__star_spoofing__subtle.fts,adversarial,340.0,5.0,0.0013617,9.0,345.0332,-6.131,-156.2553,20090107_104901_s4h1A.fts,star_spoofing,subtle,20090107_104901_s4h1A.fts,genuine,340.0,5.0,0.0015204,11.0,345.0325,-6.1304,-156.2584,0.0006999999999948159,-0.000600000000000378,0.0030999999999892225
20090107_132901_s4h1A__star_spoofing__subtle.fts,adversarial,340.0,-5.0,0.0020918,12.0,345.1405,-6.0875,-156.2486,20090107_132901_s4h1A.fts,star_spoofing,subtle,20090107_132901_s4h1A.fts,genuine,340.0,-5.0,0.0028692,18.0,345.1402,-6.0875,-156.2506,0.00029999999998153726,0.0,0.001999999999981128
20090107_140901_s4h1A__star_spoofing__subtle.fts,adversarial,340.0,-5.0,0.0021326,12.0,345.1662,-6.0764,-156.2425,20090107_140901_s4h1A.fts,star_spoofing,subtle,20090107_140901_s4h1A.fts,genuine,340.0,-5.0,0.002975,18.0,345.1661,-6.0767,-156.248,0.00010000000003174137,0.000300000000000189,0.005499999999983629
20090107_144901_s4h1A__star_spoofing__subtle.fts,adversarial,,,,,,,,20090107_144901_s4h1A.fts,star_spoofing,subtle,20090107_144901_s4h1A.fts,genuine,340.0,5.0,0.0014821,10.0,345.1941,-6.0669,-156.2503,,,
20090107_152901_s4h1A__star_spoofing__subtle.fts,adversarial,340.0,-5.0,0.0022028,12.0,345.2207,-6.0552,-156.24,20090107_152901_s4h1A.fts,star_spoofing,subtle,20090107_152901_s4h1A.fts,genuine,340.0,-5.0,0.00072901,14.0,345.2205,-6.0553,-156.2427,0.0002000000000066393,9.999999999976694e-05,0.0027000000000043656
20090107_164901_s4h1A__star_spoofing__subtle.fts,adversarial,340.0,-5.0,0.0022617,12.0,345.2747,-6.0332,-156.2319,20090107_164901_s4h1A.fts,star_spoofing,subtle,20090107_164901_s4h1A.fts,genuine,340.0,-5.0,0.0028789,17.0,345.2742,-6.0331,-156.2351,0.0004999999999881766,-9.999999999976694e-05,0.003199999999992542
