filename_adv,type_adv,RA_center_adv,DEC_center_adv,sig_adv,Nr_adv,RA_adv,DEC_adv,Roll_adv,base_name,attack,level,filename_gen,type_gen,RA_center_gen,DEC_center_gen,sig_gen,Nr_gen,RA_gen,DEC_gen,Roll_gen,RA_error,DEC_error,Roll_error
20090107_004901_s4h1A__star_spoofing__very_heavy.fts,adversarial,340.0,-5.0,0.0023431,9.0,344.6342,-6.2984,-156.3137,20090107_004901_s4h1A.fts,star_spoofing,very_heavy,20090107_004901_s4h1A.fts,genuine,340.0,-5.0,0.0027371,19.0,344.634,-6.2991,-156.3142,0.0002000000000066393,0.000700000000000145,0.0004999999999881766
20090107_020901_s4h1A__star_spoofing__very_heavy.fts,adversarial,340.0,-5.0,0.0024347,9.0,344.687,-6.2753,-156.3014,20090107_020901_s4h1A.fts,star_spoofing,very_heavy,20090107_020901_s4h1A.fts,genuine,340.0,5.0,0.0014361,11.0,344.6865,-6.2757,-156.3061,0.0004999999999881766,0.00039999999999995595,0.0046999999999854936
20090107_024901_s4h1A__star_spoofing__very_heavy.fts,adversarial,340.0,-5.0,0.0019777,8.0,344.7132,-6.2631,-156.2953,20090107_024901_s4h1A.fts,star_spoofing,very_heavy,20090107_024901_s4h1A.fts,genuine,340.0,-5.0,0.002502,19.0,344.7126,-6.2644,-156.299,0.0005999999999630745,0.001300000000000523,0.0037000000000091404
20090107_032901_s4h1A__star_spoofing__very_heavy.fts,adversarial,,,,,,,,20090107_032901_s4h1A.fts,star_spoofing,very_heavy,20090107_032901_s4h1A.fts,genuine,340.0,5.0,0.00056111,10.0,344.7398,-6.2524,-156.2931,,,
20090107_040901_s4h1A__star_spoofing__very_heavy.fts,adversarial,,,,,,,,20090107_040901_s4h1A.fts,star_spoofing,very_heavy,20090107_040901_s4h1A.fts,genuine,340.0,-5.0,0.0023808,18.0,344.7664,-6.2415,-156.2922,,,
20090107_044901_s4h1A__star_spoofing__very_heavy.fts,adversarial,,,,,,,,20090107_044901_s4h1A.fts,star_spoofing,very_heavy,20090107_044901_s4h1A.fts,genuine,340.0,-5.0,0.0037505,22.0,344.7926,-6.2304,-156.2881,,,
20090107_052901_s4h1A__star_spoofing__very_heavy.fts,adversarial,340.0,-5.0,0.0025638,9.0,344.8192,-6.2189,-156.2812,20090107_052901_s4h1A.fts,star_spoofing,very_heavy,20090107_052901_s4h1A.fts,genuine,340.0,-5.0,0.0022535,17.0,344.8192,-6.2195,-156.2868,0.0,0.000600000000000378,0.005599999999986949
20090107_060901_s4h1A__star_spoofing__very_heavy.fts,adversarial,340.0,-5.0,0.002619,9.0,344.8464,-6.2078,-156.2746,20090107_060901_s4h1A.fts,star_spoofing,very_heavy,20090107_060901_s4h1A.fts,genuine,340.0,-5.0,0.0023247,18.0,344.8462,-6.2088,-156.2855,0.0002000000000066393,0.001000000000000334,0.010900000000020782
20090107_064901_s4h1A__star_spoofing__very_heavy.fts,adversarial,340.0,-5.0,0.0026339,9.0,344.8727,-6.197,-156.2753,20090107_064901_s4h1A.fts,star_spoofing,very_heavy,20090107_064901_s4h1A.fts,genuine,340.0,5.0,0.00065795,10.0,344.8722,-6.1973,-156.2845,0.0004999999999881766,0.000300000000000189,0.009200000000021191
20090107_072901_s4h1A__star_spoofing__very_heavy.fts,adversarial,,,,,,,,20090107_072901_s4h1A.fts,star_spoofing,very_heavy,20090107_072901_s4h1A.fts,genuine,340.0,5.0,0.0014472,11.0,344.899,-6.1861,-156.2763,,,
