filename_adv,type_adv,RA_center_adv,DEC_center_adv,sig_adv,Nr_adv,RA_adv,DEC_adv,Roll_adv,base_name,attack,level,filename_gen,type_gen,RA_center_gen,DEC_center_gen,sig_gen,Nr_gen,RA_gen,DEC_gen,Roll_gen,RA_error,DEC_error,Roll_error
20090107_004901_s4h1A__star_spoofing__very_subtle.fts,adversarial,340.0,-5.0,0.0025552,15.0,344.6337,-6.2996,-156.3155,20090107_004901_s4h1A.fts,star_spoofing,very_subtle,20090107_004901_s4h1A.fts,genuine,340.0,-5.0,0.0027371,19.0,344.634,-6.2991,-156.3142,-0.0003000000000383807,-0.0004999999999997229,-0.001299999999986312
20090107_020901_s4h1A__star_spoofing__very_subtle.fts,adversarial,340.0,-5.0,0.0022131,15.0,344.6871,-6.2761,-156.3097,20090107_020901_s4h1A.fts,star_spoofing,very_subtle,20090107_020901_s4h1A.fts,genuine,340.0,5.0,0.0014361,11.0,344.6865,-6.2757,-156.3061,0.0005999999999630745,-0.00039999999999995595,-0.0036000000000058208
20090107_024901_s4h1A__star_spoofing__very_subtle.fts,adversarial,340.0,-5.0,0.001306,15.0,344.7132,-6.2646,-156.3006,20090107_024901_s4h1A.fts,star_spoofing,very_subtle,20090107_024901_s4h1A.fts,genuine,340.0,-5.0,0.002502,19.0,344.7126,-6.2644,-156.299,0.0005999999999630745,-0.00019999999999953388,-0.001599999999996271
20090107_032901_s4h1A__star_spoofing__very_subtle.fts,adversarial,,,,,,,,20090107_032901_s4h1A.fts,star_spoofing,very_subtle,20090107_032901_s4h1A.fts,genuine,340.0,5.0,0.00056111,10.0,344.7398,-6.2524,-156.2931,,,
20090107_040901_s4h1A__star_spoofing__very_subtle.fts,adversarial,,,,,,,,20090107_040901_s4h1A.fts,star_spoofing,very_subtle,20090107_040901_s4h1A.fts,genuine,340.0,-5.0,0.0023808,18.0,344.7664,-6.2415,-156.2922,,,
20090107_044901_s4h1A__star_spoofing__very_subtle.fts,adversarial,340.0,-5.0,0.002166,16.0,344.7935,-6.2307,-156.2892,20090107_044901_s4h1A.fts,star_spoofing,very_subtle,20090107_044901_s4h1A.fts,genuine,340.0,-5.0,0.0037505,22.0,344.7926,-6.2304,-156.2881,0.0009000000000014552,-0.0002999999999993008,-0.0011000000000080945
20090107_052901_s4h1A__star_spoofing__very_subtle.fts,adversarial,340.0,-5.0,0.0016594,15.0,344.8191,-6.2197,-156.2835,20090107_052901_s4h1A.fts,star_spoofing,very_subtle,20090107_052901_s4h1A.fts,genuine,340.0,-5.0,0.0022535,17.0,344.8192,-6.2195,-156.2868,-0.00010000000003174137,-0.00019999999999953388,0.003299999999995862
20090107_060901_s4h1A__star_spoofing__very_subtle.fts,adversarial,340.0,5.0,0.00027372,9.0,344.8466,-6.2086,-156.2811,20090107_060901_s4h1A.fts,star_spoofing,very_subtle,20090107_060901_s4h1A.fts,genuine,340.0,-5.0,0.0023247,18.0,344.8462,-6.2088,-156.2855,0.0004000000000132786,0.00020000000000042206,0.004400000000003956
20090107_064901_s4h1A__star_spoofing__very_subtle.fts,adversarial,340.0,-5.0,0.0028227,19.0,344.8727,-6.1977,-156.2793,20090107_064901_s4h1A.fts,star_spoofing,very_subtle,20090107_064901_s4h1A.fts,genuine,340.0,5.0,0.00065795,10.0,344.8722,-6.1973,-156.2845,0.0004999999999881766,-0.00039999999999995595,0.005200000000002092
20090107_072901_s4h1A__star_spoofing__very_subtle.fts,adversarial,340.0,-5.0,0.0043399,20.0,344.9,-6.1861,-156.2735,20090107_072901_s4h1A.fts,star_spoofing,very_subtle,20090107_072901_s4h1A.fts,genuine,340.0,5.0,0.0014472,11.0,344.899,-6.1861,-156.2763,0.0009999999999763531,0.0,0.0027999999999792635
20090107_080901_s4h1A__star_spoofing__very_subtle.fts,adversarial,340.0,-5.0,0.00044023,11.0,344.9259,-6.1755,-156.2718,20090107_080901_s4h1A.fts,star_spoofing,very_subtle,20090107_080901_s4h1A.fts,genuine,340.0,5.0,0.00062338,10.0,344.9258,-6.1748,-156.2737,0.00010000000003174137,-0.000700000000000145,0.0018999999999778083
20090107_092901_s4h1A__star_spoofing__very_subtle.fts,adversarial,340.0,-5.0,0.0023995,17.0,344.98,-6.1538,-156.2712,20090107_092901_s4h1A.fts,star_spoofing,very_subtle,20090107_092901_s4h1A.fts,genuine,340.0,5.0,0.0015466,11.0,344.9798,-6.1535,-156.2667,0.0002000000000066393,-0.000300000000000189,-0.004500000000007276
20090107_104901_s4h1A__star_spoofing__very_subtle.fts,adversarial,,,,,,,,20090107_104901_s4h1A.fts,star_spoofing,very_subtle,20090107_104901_s4h1A.fts,genuine,340.0,5.0,0.0015204,11.0,345.0325,-6.1304,-156.2584,,,
20090107_132901_s4h1A__star_spoofing__very_subtle.fts,adversarial,340.0,-5.0,0.0024831,16.0,345.1403,-6.0876,-156.2485,20090107_132901_s4h1A.fts,star_spoofing,very_subtle,20090107_132901_s4h1A.fts,genuine,340.0,-5.0,0.0028692,18.0,345.1402,-6.0875,-156.2506,0.00010000000003174137,-9.999999999976694e-05,0.0020999999999844476
20090107_140901_s4h1A__star_spoofing__very_subtle.fts,adversarial,,,,,,,,20090107_140901_s4h1A.fts,star_spoofing,very_subtle,20090107_140901_s4h1A.fts,genuine,340.0,-5.0,0.002975,18.0,345.1661,-6.0767,-156.248,,,
20090107_144901_s4h1A__star_spoofing__very_subtle.fts,adversarial,340.0,5.0,0.0015513,10.0,345.1942,-6.0672,-156.2475,20090107_144901_s4h1A.fts,star_spoofing,very_subtle,20090107_144901_s4h1A.fts,genuine,340.0,5.0,0.0014821,10.0,345.1941,-6.0669,-156.2503,0.00010000000003174137,-0.0002999999999993008,0.0028000000000076852
20090107_152901_s4h1A__star_spoofing__very_subtle.fts,adversarial,340.0,-5.0,0.0030676,16.0,345.2206,-6.0554,-156.2419,20090107_152901_s4h1A.fts,star_spoofing,very_subtle,20090107_152901_s4h1A.fts,genuine,340.0,-5.0,0.00072901,14.0,345.2205,-6.0553,-156.2427,9.999999997489795e-05,-9.999999999976694e-05,0.0008000000000265572
20090107_164901_s4h1A__star_spoofing__very_subtle.fts,adversarial,340.0,-5.0,0.00081471,13.0,345.2736,-6.0333,-156.2335,20090107_164901_s4h1A.fts,star_spoofing,very_subtle,20090107_164901_s4h1A.fts,genuine,340.0,-5.0,0.0028789,17.0,345.2742,-6.0331,-156.2351,-0.0006000000000199179,-0.00019999999999953388,0.001599999999996271
