filename_adv,type_adv,RA_center_adv,DEC_center_adv,sig_adv,Nr_adv,RA_adv,DEC_adv,Roll_adv,base_name,attack,level,filename_gen,type_gen,RA_center_gen,DEC_center_gen,sig_gen,Nr_gen,RA_gen,DEC_gen,Roll_gen,RA_error,DEC_error,Roll_error
20090107_004901_s4h1A__tiny_noise__very_subtle.fts,adversarial,340.0,-5.0,0.0033545,9.0,344.6341,-6.2974,-156.3094,20090107_004901_s4h1A.fts,tiny_noise,very_subtle,20090107_004901_s4h1A.fts,genuine,340.0,-5.0,0.0027371,19.0,344.634,-6.2991,-156.3142,9.999999997489795e-05,0.001700000000000479,0.004799999999988813
20090107_020901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090107_020901_s4h1A.fts,tiny_noise,very_subtle,20090107_020901_s4h1A.fts,genuine,340.0,5.0,0.0014361,11.0,344.6865,-6.2757,-156.3061,,,
20090107_024901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090107_024901_s4h1A.fts,tiny_noise,very_subtle,20090107_024901_s4h1A.fts,genuine,340.0,-5.0,0.002502,19.0,344.7126,-6.2644,-156.299,,,
20090107_032901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090107_032901_s4h1A.fts,tiny_noise,very_subtle,20090107_032901_s4h1A.fts,genuine,340.0,5.0,0.00056111,10.0,344.7398,-6.2524,-156.2931,,,
20090107_040901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090107_040901_s4h1A.fts,tiny_noise,very_subtle,20090107_040901_s4h1A.fts,genuine,340.0,-5.0,0.0023808,18.0,344.7664,-6.2415,-156.2922,,,
20090107_044901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090107_044901_s4h1A.fts,tiny_noise,very_subtle,20090107_044901_s4h1A.fts,genuine,340.0,-5.0,0.0037505,22.0,344.7926,-6.2304,-156.2881,,,
20090107_052901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090107_052901_s4h1A.fts,tiny_noise,very_subtle,20090107_052901_s4h1A.fts,genuine,340.0,-5.0,0.0022535,17.0,344.8192,-6.2195,-156.2868,,,
20090107_060901_s4h1A__tiny_noise__very_subtle.fts,adversarial,340.0,-5.0,0.0026809,9.0,344.8491,-6.2083,-156.2928,20090107_060901_s4h1A.fts,tiny_noise,very_subtle,20090107_060901_s4h1A.fts,genuine,340.0,-5.0,0.0023247,18.0,344.8462,-6.2088,-156.2855,0.002900000000011005,0.0004999999999997229,-0.0072999999999865395
20090107_064901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090107_064901_s4h1A.fts,tiny_noise,very_subtle,20090107_064901_s4h1A.fts,genuine,340.0,5.0,0.00065795,10.0,344.8722,-6.1973,-156.2845,,,
20090107_072901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090107_072901_s4h1A.fts,tiny_noise,very_subtle,20090107_072901_s4h1A.fts,genuine,340.0,5.0,0.0014472,11.0,344.899,-6.1861,-156.2763,,,
